repo,verdict,reason,capability,install_cmd,license,risk_level,risk_note,category,evidence,checked_at
ben7am1n/dsh-lens-lite,verified_plugin,Native `dsh plugin --profile web add dsh-lens-lite` command in README plus `dsh.bundle.patch` in package.json.,Post-edit diagnostics: runs configured type-checkers/linters after a successful write/edit and feeds findings back as tool-result context.,dsh plugin --profile web add dsh-lens-lite,MIT,medium,Spawns configured local checkers (tsc/eslint/ruff/go vet) as subprocesses; argv is never shell-interpreted; no network/credentials by default.,developer_tools,README.md + package.json (dsh.bundle.patch = ./cordis.patch.yml).,2026-08-14
ben7am1n/dsh-mcp-proxy,verified_plugin,Native `dsh plugin --profile web add dsh-mcp-proxy` command in README plus `dsh.bundle.patch` in package.json.,Context-cheap MCP access: two lazy proxy tools (mcp_discover/mcp_call) over any number of MCP servers with an on-disk tool catalog.,dsh plugin --profile web add dsh-mcp-proxy,MIT,medium,Connects on demand to configured MCP servers (stdio commands or HTTP); may carry env tokens (e.g. GITHUB_TOKEN); servers ship empty; stdio server commands run outside the agent sandbox.,developer_tools,README.md + package.json (dsh.bundle.patch = ./cordis.patch.yml).,2026-08-14
ben7am1n/dsh-memory,verified_plugin,Native `dsh plugin --profile web add dsh-memory` command in README plus `dsh.bundle.patch` in package.json.,Durable cross-session SQLite memory: memory_write/search/forget tools plus a memory:recall prompt section.,dsh plugin --profile web add dsh-memory,MIT,low,"Local SQLite file only; no network, no API key, no sidecar process.",memory_persona,README.md + package.json (dsh.bundle.patch = ./cordis.patch.yml).,2026-08-14
ben7am1n/dsh-review-skills,verified_plugin,Native `pnpm dsh plugin --profile web add` command in README plus `dsh.bundle.patch` in package.json.,Engineering-discipline skill pack (code-review/simplify/plan-then-execute/test-first/resolve-conflict) delivered via the ctx.skills registry.,pnpm dsh plugin --profile web add /path/to/dsh-review-skills,MIT,low,"Read-only static Markdown skills; no network, no file writes, no code execution of its own.",skills,README.md + package.json (dsh.bundle.patch = ./cordis.patch.yml).,2026-08-14
ben7am1n/dsh-security-scan,verified_plugin,Native `pnpm dsh plugin --profile web add` command in README plus `dsh.bundle.patch` in package.json.,security_scan tool: scans files for leaked API keys/tokens/private keys/connection strings and reports them redacted.,pnpm dsh plugin --profile web add /path/to/dsh-security-scan,MIT,low,"Read-only local filesystem scan; matched secrets redacted before reaching model/logs; no network, no writes.",diagnostics,README.md + package.json (dsh.bundle.patch = ./cordis.patch.yml).,2026-08-14
ben7am1n/dsh-telegram,verified_plugin,Native `pnpm dsh plugin --profile web add` command in README plus `dsh.bundle.patch` in package.json.,Telegram runtime adapter: long-polls the Bot API and routes messages into per-chat agent sessions.,pnpm dsh plugin --profile web add /path/to/dsh-telegram,MIT,high,IM (Telegram) access; holds the bot token (secret); allowlist-gated users; network to api.telegram.org.,communication,README.md + package.json (dsh.bundle.patch = ./cordis.patch.yml).,2026-08-14
ben7am1n/dsh-webhook-bridge,verified_plugin,Native `pnpm dsh plugin --profile web add` command in README plus `dsh.bundle.patch` in package.json.,Local HTTP webhook receiver: POST /hook/:channel wakes a per-channel DSH agent session.,pnpm dsh plugin --profile web add /path/to/dsh-webhook-bridge,MIT,high,Exposes a local HTTP server (loopback by default); Bearer-secret auth; can POST replies to arbitrary http/https reply_url supplied by the caller; no TLS by default.,developer_tools,README.md + package.json (dsh.bundle.patch = ./cordis.patch.yml).,2026-08-14
bill9109/dsh-101,verified_plugin,Native `dsh plugin --profile web add github:dsh-external/dsh-101#v0.1.0` command in README plus `dsh.bundle.patch` in package.json.,"Document-first reader profile bundle over dsh-base + dsh-web-app (docs browsing, search, tutor panel).",dsh plugin --profile web add github:dsh-external/dsh-101#v0.1.0,BSD-3-Clause,low,Web UI reader bundle; serves a local docs corpus on localhost; no network/credentials.,web_ui,"README.md + package.json (dsh.bundle.patch = ./cordis.patch.yml, dshClient).",2026-08-14
bill9109/dsh-conversation-share,verified_plugin,Native `dsh plugin --profile web add github:bill9109/dsh-conversation-share` command in README plus `dsh.bundle.patch` in package.json.,Share a selected range of a DSH conversation as a branded PNG long image.,dsh plugin --profile web add github:bill9109/dsh-conversation-share,BSD-3-Clause,low,Client-side web UI screenshot of the local conversation; no network/credentials; vendored html-to-image.,web_ui,"README.md + package.json (dsh.bundle.patch = ./cordis.patch.yml, dsh.client).",2026-08-14
bill9109/dsh-drag-and-drop,verified_plugin,README documents native `dsh plugin --profile web add github:bill9109/dsh-drag-and-drop` plus `dsh.bundle`+`dsh.client` declarations; web UI slot plugin with committed lib/ artifacts.,文件拖拽到 DSH Web UI 任意位置即插入原始绝对路径（支持多文件/文件夹、macOS/Linux/Windows 路径与系统索引定位）,dsh plugin --profile web add github:bill9109/dsh-drag-and-drop,BSD-3-Clause,low,不上传/不复制/不移动文件；仅读取本机文件元数据，多候选时读取内容采样指纹与 SHA-256，使用 Spotlight/plocate/locate/Everything 做有边界的本地文件系统搜索，无网络请求、无凭据。,web_ui,README HEAD/README.md: dsh.bundle + dsh.client 声明、`dsh plugin --profile web add/remove` 命令、`__DSH_BOOT__` client bundle 加载、卸载命令、BSD-3-Clause 许可。,2026-08-14
bill9109/dsh-webbridge,verified_plugin,README 提供原生 `dsh plugin --profile web add github:bill9109/dsh-webbridge#v0.0.1`，声明 `dsh.bundle` 并自动注册，桥接 Kimi WebBridge 守护进程暴露 11 个模型工具。,桥接 Kimi WebBridge 本地守护进程，让模型驱动用户真实浏览器（navigate/find_tab/snapshot/click/fill/evaluate/screenshot/list_tabs/network/close_tab/close_session）,dsh plugin --profile web add github:bill9109/dsh-webbridge#v0.0.1,BSD-3-Clause,high,驱动真实浏览器并保留登录态/Cookie/活动会话，可在页面执行 JS（evaluate）、截图、网络检查、读写表单；HTTP 到本机守护进程 127.0.0.1:10086，浏览器状态不出本机但模型可操作用户真实会话。,search_browser,README HEAD/README.md: dsh.bundle 声明、`dsh plugin --profile web add github:bill9109/dsh-webbridge#v0.0.1`、11 个 webbridge_* 工具表、需另装 Kimi WebBridge 守护进程+扩展、BSD-3-Clause。,2026-08-14
bitterSmilezzz/dsh-model-selector,verified_plugin,README 提供原生 `dsh plugin --profile <profile> add ./dsh-model-selector`（及 git#sha 形式），声明 dsh.bundle → cordis.patch.yml 插入行 + dsh.client 浏览器 bundle。,为 DSH Web UI 会话模型选择器增加 provider 分组折叠与模型名搜索，读写同一 modelDirectories 会话目录,dsh plugin --profile <profile> add ./dsh-model-selector,MIT,low,纯前端 UI 增强，读取/写入 ctx.modelDirectories 会话目录；无网络、无凭据、无文件系统访问。,web_ui,README HEAD/README.md: dsh.bundle+dsh.client 声明、`dsh plugin --profile <profile> add ./dsh-model-selector` 与 remove、conversation.input.model 槽位替换、MIT 许可。,2026-08-14
bitterSmilezzz/dsh-skill-manager,verified_plugin,README 提供原生 `dsh plugin --profile web add github:bitterSmilezzz/dsh-skill-manager`，声明 dsh.bundle → cordis.patch.yml 宿主行，暴露 /skills、/skill-remove 斜杠命令与 skill_manage 工具。,在会话中通过斜杠命令与模型工具管理 ~/.dsh/skills 目录下的用户技能（list/get/save/remove SKILL.md）,dsh plugin --profile web add github:bitterSmilezzz/dsh-skill-manager,MIT,low,仅读写本机 ~/.dsh/skills 用户技能目录（SKILL.md 文件）；无网络、无凭据、无 shell 执行。,developer_tools,README HEAD/README.md: dsh.bundle → cordis.patch.yml、`dsh plugin --profile web add github:bitterSmilezzz/dsh-skill-manager`、/skills 与 /skill-remove 命令、skill_manage 工具、MIT 许可。,2026-08-14
bobleer/deepseek-harness-plugin-mcp,verified_plugin,README 明确本包本身是 DSH bundle，提供 `dsh plugin --profile web add github:bobleer/deepseek-harness-plugin-mcp`；同时也可作为 npm 全局 MCP server 使用。,MCP server 让任意 agent 发现、检查、安装并运行 DeepSeek Harness 插件（目录/配置/运行时三平面，运行时桥接为 dsh__* 工具）,dsh plugin --profile web add github:bobleer/deepseek-harness-plugin-mcp,MIT,high,--allow-install 会执行 `dsh plugin add/remove`，--allow-runtime 会启动 DSH profile 并在本机运行第三方插件代码、桥接其工具为 dsh__*；需 GITHUB_TOKEN 可选，但运行时平面执行任意插件代码。,developer_tools,README HEAD/README.md: 本包作为 DSH bundle 的 `dsh plugin --profile web add github:bobleer/deepseek-harness-plugin-mcp`、npm install -g deepseek-harness-plugin-mcp、MCP 工具清单与 --allow-install/--allow-runtime 旗标、MIT 许可。,2026-08-14
bobleer/deepseek-harness-rust,watchlist,DeepSeek Harness 的 Rust 重实现（独立运行时），README 明确「This is not a Cordis port」，无任何 dsh plugin/bundle/cordis.patch.yml 装载路径，非可载入 DSH 的插件。,DeepSeek Harness 的 Rust 重实现：追加式会话日志、turn/step agent 循环、能力端口与 DeepSeek SSE 适配器（dsh CLI + ACP stdio）,,MIT,high,独立运行时的服务层含 FS/subprocess/shell/credentials/JSONL 持久化，跑本地 shell 子进程并解析 DEEPSEEK_API_KEY；非 DSH 插件装载物，仅作生态参考。,ecosystem,README HEAD/README.md: 「This is not a Cordis port」、cargo run 快速开始、DEEPSEEK_API_KEY/DSH_HOME 配置、分层 crate 布局；无 dsh plugin 命令或 cordis 挂载声明。,2026-08-14
btspoony/dsh-llm-fallbacks,verified_plugin,README 提供原生 `dsh plugin --profile web add github:btspoony/dsh-llm-fallbacks`，声明 bundle/cordis.patch.yml 挂载 + dsh.client.inject，纯 mount-only 无源码 patch。,基于角色的 LLM 重试/备用策略：主模型失败（重试耗尽/鉴权/配额/429）时沿 fallback 链切换 provider/model，支持冷却与回退,dsh plugin --profile web add github:btspoony/dsh-llm-fallbacks,MIT,low,纯配置+LLM 路由协调，无自有网络/凭据/shell；读写 dsh settings.yaml 的 fallbacks 配置，/fallbacks 命令只读诊断。,automation,README HEAD/README.md: `dsh plugin --profile web add github:btspoony/dsh-llm-fallbacks`、bundle/cordis.patch.yml 自挂载、dsh.client.inject Settings 卡片、pnpm approve-builds 说明、MIT 许可。,2026-08-14
Carleo10032/deepseek-harness-mac,watchlist,非官方 SwiftUI macOS 外壳，用 WKWebView 包裹 dsh web UI（启动 dsh web 为本地服务），非可载入 DSH 的插件，无 dsh plugin/bundle 装载路径。,SwiftUI macOS 外壳：启动 dsh web 本地服务并用 WKWebView 呈现，提供原生下载/对话框/Dock 生命周期,,MIT,low,本地启动 dsh web（127.0.0.1 回环监听）并包裹 WKWebView，无凭据/网络上传；仅回环服务与本地进程管理。,web_ui,README HEAD/README.md: 「SwiftUI macOS shell for DeepSeek Harness local web UI」、build.sh 构建、./build.sh 安装到 /Applications；无 dsh plugin 或 cordis 挂载。,2026-08-14
ccch1mneyyy/dsh-working-activity,verified_plugin,README 提供原生 `dsh plugin --profile <profile> add dsh-working-activity`，自带 dsh.bundle.patch（自挂载 bundle）+ cordis.patch.yml；Web 端经 rc.6 slot 机制 + runtime 补丁渲染。,DSH 实时工作状态行：由会话事件驱动状态机，展示俏皮思考文案、运行中工具、耗时与收尾摘要，输出到 Web UI dock 与 dsh-cc 终端,dsh plugin --profile <profile> add dsh-working-activity,MIT,low,不采集/不上传任何数据，全部由本机会话事件推导，activity/status 仅写本地会话日志（log-only、模型不可见）；无网络、无遥测、无外部依赖注入。,web_ui,README HEAD/README.md: dsh.bundle.patch 自挂载、`dsh plugin --profile <profile> add dsh-working-activity`、cordis.patch.yml 插入、Web 端需 git apply patches/webui-working-activity.patch、repo MIT（插件包 BSD-3-Clause）。,2026-08-14
cking000bigdemon/dsh-toolbelt,verified_plugin,README 提供原生 `dsh plugin --profile <名称> add github:cking000bigdemon/dsh-toolbelt`（及本地 checkout 路径），8 个独立 Cordis 插件各有入口，bundle 经 prepare 自构建。,八个插件：general-agent-prompt 人设、language-guard 语言守卫、vision-fallback 视觉回退、python/windows 写入守卫、cross-agent-memory 记忆桥接、image-generation 生图、skill-shell-injection 技能内 shell 命令替换,dsh plugin --profile <名称> add github:cking000bigdemon/dsh-toolbelt,MIT,high,skill-shell-injection 会在受信技能根目录执行 SKILL.md 中的 shell 命令；cross-agent-memory 读取 home 目录下 Claude Code/Codex 记忆文件并注入；image-generation 使用生图 API 凭据；python/windows 守卫拦截/放行 shell 调用。,automation,README HEAD/README.md: 8 个 Cordis 插件清单、`dsh plugin --profile <名称> add github:cking000bigdemon/dsh-toolbelt` 与本地 checkout 安装、allowBuilds 授权、`dsh --profile <名称> --dump-config` 校验、MIT 许可。,2026-08-14
ConradLu2740/pa-dsh,verified_plugin,README 提供明确 profile-mount 声明：`pnpm add` 各 @proactive-agent/dsh-proactive-* 包 + 在 cordis.patch.yml 中 insert 6 个插件行（pa-core 必须最前），属原生 cordis.patch.yml 挂载。,ProactiveAgent × DSH 插件组（6 个 cordis 插件）：主动记忆（capture/recall/stats）、主动建议引擎、建议箱通知、每日定时回顾、SOP 记忆转 skills,cd ~/.dsh/profiles/web && pnpm add @proactive-agent/dsh-proactive-core @proactive-agent/dsh-proactive-memory @proactive-agent/dsh-proactive-suggest @proactive-agent/dsh-proactive-injector @proactive-agent/dsh-proactive-daily @proactive-agent/dsh-proactive-skills,MIT,medium,持久化记忆库（默认 ~/.proma-proactive/，与 Claude Code 版 PA 共享），注入用户画像提示词段并投递建议；无 shell/网络执行，但会读写用户记忆并跨 agent 共享。,memory_persona,README HEAD/README.md: cordis.patch.yml insert 6 行（pa-core 最前）挂载声明、pnpm add 各 @proactive-agent 包、`重启 dsh 即生效`、MIT 许可。,2026-08-14
crayonlu/dsh-web-search-firecrawl,verified_plugin,README 提供原生 `dsh plugin --profile web add github:crayonlu/dsh-web-search-firecrawl` + cordis.patch.yml insert 行（web.searchProvider: firecrawl），为 ctx.web 提供 Firecrawl 搜索 provider。,Firecrawl-backed WebSearchProvider（ctx.web）：让 dsh 的 web_search 工具走 Firecrawl v2 /search，无需 DeepSeek API key,dsh plugin --profile web add github:crayonlu/dsh-web-search-firecrawl,MIT,medium,网络搜索走 Firecrawl 第三方 API，需 FIRECRAWL_API_KEY（经 ctx.credentials 解析）；搜索词发送到 Firecrawl 服务端。,search_browser,README HEAD/README.md: `dsh plugin --profile web add github:crayonlu/dsh-web-search-firecrawl`、cordis.patch.yml insert（id: web-search-firecrawl + web.searchProvider）、FIRECRAWL_API_KEY 配置、MIT 许可。,2026-08-14
crayonlu/dsh-web-search-tavily,verified_plugin,README documents a real `dsh plugin --profile web add github:...` command plus a cordis.patch.yml patch layer; implements a WebSearchProvider for the ctx.web seam.,Tavily-backed web search provider for the DSH ctx.web seam (no DeepSeek API key required).,dsh plugin --profile web add github:crayonlu/dsh-web-search-tavily,MIT,medium,Sends search queries to the Tavily API; requires TAVILY_API_KEY (env/credentials). No local FS/shell/browser access.,search_browser,README.md (HEAD): dsh plugin add command + cordis.patch.yml patch layer + config table.,2026-08-14
cute-baobao/dsh-usage-meter,verified_plugin,README documents an npx @deepseek-ai/dsh `dsh plugin --profile web add` install of dsh.bundle packages.,Per-model daily token usage recorder (input/output/cache hits) with a Web GUI dashboard.,npx -p @deepseek-ai/dsh dsh plugin --profile web add @dsh-usage-meter/usage-bundle @dsh-usage-meter/usage-host@0.1.1 @dsh-usage-meter/usage-ui@0.1.1 --registry=https://registry.npmjs.org/,MIT,low,Writes usage JSONL under $DSH_HOME/usage-meter; no network or API keys.,diagnostics,README.md + README.en.md (HEAD): npx dsh plugin add install path and usage recording scope.,2026-08-14
Demogorgon314/dsh-resume-plugin,verified_plugin,README documents `dsh plugin --profile <profile> add -w github:...` with a bundle id visible via --dump-config.,Adds /resume-codex and /resume-claude skills to read and continue Codex/Claude Code sessions.,dsh plugin --profile web add -w github:Demogorgon314/dsh-resume-plugin,MIT,medium,Reads local ~/.claude and ~/.codex session files (sensitive history); no network or API keys.,session_chat,README.md + README.en.md (HEAD): dsh plugin add install + bundle id in --dump-config output.,2026-08-14
detpecca/dsh-llm-wiki,verified_plugin,README documents `dsh plugin --profile web add @detpecca/dsh-llm-wiki` plus a cordis.patch.yml config override.,Thin adapter letting the agent manage an LLM-Wiki personal knowledge base (search/read/stats/validate/errorbook/ingest) via subprocess.,dsh plugin --profile web add @detpecca/dsh-llm-wiki,MIT,medium,Spawns the Python DSH-Wiki subprocess engine; optional LLM API key (llmWikiApiKey/env) for ingest; local wiki files.,memory_persona,README.md (HEAD): dsh plugin add + cordis.patch.yml config; depends on detpecca/DSH-Wiki engine.,2026-08-14
detpecca/DSH-Wiki,rejected,"Standalone Python engine/CLI (LLM-Wiki) installed via pip, consumed by dsh-llm-wiki; not itself a loadable DSH plugin (no dsh plugin add / cordis mount).",Python LLM-Wiki RAG engine (compile docs into wiki + retrieval/query CLI); backing engine for dsh-llm-wiki.,,MIT,low,N/A — rejected (non-plugin infrastructure).,uncategorized,README.md (HEAD): pip install + python -m llm_wiki CLI; --json output consumed by DSH plugin; no dsh plugin add.,2026-08-14
dongsheng123132/task-passport,verified_plugin,README documents `dsh plugin --profile web add task-passport@0.2.1` plus a cordis.patch.yml config override.,"Task-state 'passport' handoff (list/open/new/checkpoint) shared across DeepSeek Harness, Claude Code, and Codex.",dsh plugin --profile web add task-passport@0.2.1,MIT,medium,Spawns the U-King external executable and reads/writes local task-state files; no network.,automation,README.md (HEAD): dsh plugin add + cordis.patch.yml override + CLI/MCP sections.,2026-08-14
Drifter-yh/dsh-tool-policy,verified_plugin,"README documents `dsh plugin --profile my-profile add dsh-tool-policy`, a dsh.bundle.patch/cordis.patch.yml bundle, and a direct Cordis apply entry.",Declarative deny-by-default tool policy gate at tools/pre-execute (deny/ask/allow rules).,dsh plugin --profile my-profile add dsh-tool-policy,MIT,low,"Pure pre-dispatch policy evaluator; performs no execution, network, or credential access itself.",automation,README.md (HEAD): dsh plugin add + dsh.bundle.patch/cordis.patch.yml + direct Cordis composition entry.,2026-08-14
echo-escape/dsh-workbench,verified_plugin,README gives an explicit cordis.patch.yml profile-mount instruction for the cost-governor plugin (also contains a dsh-plugin-dev skill).,"Monorepo workbench: cost-governor plugin (token audit, cost tracking, model routing, compaction gating) + dsh-plugin-dev skill.","~/.dsh/profiles/web/cordis.patch.yml insert: id cost-governor, name '<repo>/plugins/cost-governor/dist/index.js'",MIT,low,Reads token/cost telemetry locally; no external API keys.,developer_tools,README.md (HEAD): 'Mounting to DeepSeek Harness' section with cordis.patch.yml insert path.,2026-08-14
erduotong/dsh-plugin-graph,verified_plugin,README documents `dsh plugin --profile web add dsh-plugin-graph` (npm and local) with a dsh.bundle/cordis.patch.yml bundle declaration.,Force-directed graph visualizing client plugin relationships in the Web settings page.,dsh plugin --profile web add dsh-plugin-graph,MIT,low,Web UI reading the plugin manifest/slots snapshot; no network or API keys.,web_ui,README.md (HEAD): dsh plugin add (npm + local path) + dsh.bundle/cordis.patch.yml description.,2026-08-14
fff122/dsh-research-notes,verified_plugin,README gives a Cordis patch apply entry via `dsh web --patch research-notes.patch.yml` (insert id + dist path).,"Four tools for saving, listing, searching, and exporting local Markdown research notes.","dsh web --patch ""$PWD/research-notes.patch.yml""",MIT,low,Writes Markdown notes under local .dsh/research-notes/; no network or API.,memory_persona,README.md (HEAD): patch insert block + dsh web --patch / npx @deepseek-ai/dsh web --patch install.,2026-08-14
Fisfzy/math-lean,watchlist,DSH Cordis plugin (registers tools via ctx.tools) but DSH integration is marked '待登记' (pending) — no clean reproducible load path; requires manual link/vendor of cordis plus manual cordis.patch.yml registration.,Lean kernel-verified math reasoning plugin (statement lock + anti-cheat + clean replay).,,Not found,high,Executes Lean on candidate code; README admits #eval escape could run host commands (no OS sandbox).,data_tools,README.md (HEAD): 'DSH 集成(待登记)' section; ctx.tools.register contract; no dsh plugin add.,2026-08-14
Fisfzy/zotero-wave-rag,verified_plugin,README documents dshx install plus an explicit cordis.patch.yml profile-mount instruction (home + profile level).,"Wave RAG retrieval over a Zotero paper library (search/detail/compare/embedder tools; BM25+RRF, claim-evidence check).",dshx install zotero-wave-rag . (then add insert row to ~/.dsh/cordis.patch.yml and ~/.dsh/profiles/web/cordis.patch.yml),Not found,medium,Reads local Zotero sqlite + PDFs; optional embedding API keys (bge-m3 etc.); no shell/ssh/browser.,data_tools,README.md (HEAD): DSH plugin tools table + cordis.patch.yml mount migration note + dshx install.,2026-08-14
Nagi-ovo/dsh-find-plugins,verified_skill,"Skill installed into DSH skills filesystem ($DSH_HOME/skills/ or .agents/skills/), invoked by talking to DSH to search/install plugins.",让 DSH 在 GitHub 按 dsh-plugin topic 搜索候选插件、解释差别并安装验证,把 skills/find-plugins/ 整个目录复制到 $DSH_HOME/skills/,BSD-3-Clause,medium,通过 GitHub API 搜索并安装第三方插件，涉及网络请求与第三方代码安装（lifecycle scripts 需用户确认）,skills,README HEAD: 安装章节说明复制 skills/find-plugins/ 到 $DSH_HOME/skills/，License: BSD-3-Clause,2026-08-14
openguardrails/openguardrails,verified_plugin,Monorepo contains integrations/agent/dsh — an ordinary Cordis plugin on dsh's interception points with cordis.yml wiring and dsh web --patch mount.,在 dsh 工具调用/LLM I/O 接缝上执行 OGR 安全护栏（拦截/阻断工具调用与结果）,npm install openguardrails-instrumentation-dsh,Apache-2.0,medium,转发 LLM 请求/响应与工具调用数据到 OGR runtime（网络）；可阻断工具调用并触发原生审批门,developer_tools,root README 集成表列出 integrations/agent/dsh；该集成 README 提供 npm install + cordis.yml 条目 + dsh web --patch ogr.yml,2026-08-14
Lum1104/dsh-browser,verified_plugin,"Companion browser bridge plugin for DSH: scripts/install.sh links the built bridge plugin into dsh's local web profile, plus examples/browser-bridge.cordis.yml mount.",让 DSH 读取/点击/填表/滚动/导航当前 Chrome 标签页（文本优先，保留登录态）,./scripts/install.sh,BSD-3-Clause,high,操控真实浏览器（读写页面内容、表单、导航），保留登录态/session/cookie；密码与支付卡号脱敏,search_browser,README HEAD: install.sh 构建并把 bridge 插件链入 dsh web profile；examples/browser-bridge.cordis.yml 挂载声明,2026-08-14
MonkeyUI-dev/vibe-to-ui,rejected,通用 Agent Skill（npx skills add），面向 Claude Code/Cursor/Codex/Gemini/Kimi，README 无任何 DSH 加载路径；仅 topics 挂 deepseek-harness,,,MIT,,,uncategorized,README HEAD: 安装为 npx skills add MonkeyUI-dev/vibe-to-ui，目标代理不含 DSH,2026-08-14
omdsh-dev/dsh-at-file,verified_plugin,Explicit dsh plugin --profile web add command in README; cordis.yml config block.,在 Web 输入框用 @file 提及工作区文件/目录并把内容注入提示词,dsh plugin --profile web add https://github.com/omdsh-dev/dsh-at-file/archive/refs/heads/main.tar.gz,MIT,low,读取工作区文件并注入提示词（限制在工作区根内，不跟随 .. 逃逸）；无网络,web_ui,README HEAD: 安装命令 + cordis.yml 配置块 + License MIT,2026-08-14
hanelalo/browser-bridge,rejected,通用浏览器桥 + MCP server（供 Claude/Cursor/Codex 调用），README 无任何 DSH/DeepSeek 提及，无 DSH 加载路径,,,Not found,,,uncategorized,README HEAD 全文 grep 无 dsh/deepseek/harness；安装为 cargo run 与浏览器扩展加载,2026-08-14
LaplaceYoung/oh-my-dsh,watchlist,DSH 插件生态合集（687 插件），README 仅提供开发/测试/e2e 流程，无可复现的 dsh plugin add 安装命令或 bundle 挂载声明,面向 DSH 的插件合集（687 个能力插件，经 ctx.effect/ctx.on/ctx.tools 接缝注册）,,Not found,low,未提供可复现安装路径；源码插件合集，无单一 bundle 挂载,ecosystem,README HEAD + package.json（private monorepo，无 dsh 字段）；快速开始仅 pnpm install/test,2026-08-14
alingalingling/ui-status-label,verified_plugin,Explicit dsh plugin --profile web add commands; package.json declares dsh.bundle.patch (cordis.patch.yml) and dsh.client.,自定义 DSH Web 聊天运行状态文案（Deep diving → 任意文字）,dsh plugin --profile web add github:alingalingling/ui-status-label,BSD-3-Clause,low,仅改浏览器呈现文案；settings 本地持久化，不触及模型请求/网络,web_ui,README HEAD 安装命令 + package.json dsh.bundle.patch/cordis.patch.yml、license: BSD-3-Clause,2026-08-14
vlln/whale-girl,verified_plugin,Official repository-plugin bundle (package.json dsh.bundle + dsh.client); explicit dsh plugin --profile web add command.,DSH Web 桌面宠物（可拖拽/投喂/玩耍，积累型资历成长）,"dsh plugin --profile web add ""github:vlln/whale-girl#main""",MIT,low,仅浏览器呈现与本地 localStorage/settings 持久化；无网络/凭证,fun,README HEAD: 安装命令 + 官方 bundle 格式（dsh.bundle + dsh.client）；License MIT,2026-08-14
Anionex/dsh-turn-rewind,verified_plugin,Explicit dsh plugin --profile web/headless add commands; package.json declares dsh.bundle.patch and cordis.patch.yml mounts @dsh-external/turn-rewind.,消息锚定的工作区文件回滚/恢复（基于持久化 Change Ledger）,dsh plugin --profile web add /path/to/dsh-turn-rewind,BSD-3-Clause,medium,恢复/删除工作区文件（写权限），需用户显式确认与审批；无网络,automation,README HEAD: 安装命令 + dsh.bundle.patch + cordis.patch.yml 挂载,2026-08-14
omdsh-dev/dsh-custom-tool,verified_plugin,Explicit dsh plugin --profile web add command; package declares dsh.bundle.patch and dsh.client.,用户在设置 UI 用 Monaco 编写沙箱化 JS 工具，模型可自增/删除工具,dsh plugin --profile web add https://github.com/omdsh-dev/dsh-custom-tool/archive/refs/heads/main.tar.gz,MIT,medium,在 node:vm 工作线程执行用户/模型编写的 JS（沙箱+预算），可选网络 fetch 与工作区 fs,developer_tools,README HEAD: 安装命令 + dsh.bundle.patch + dsh.client,2026-08-14
Electricitysheep/dsh-handbook,rejected,DSH 教程白皮书/文档（新手教程 + PDF），非可加载插件，无插件加载路径,,,CC-BY-NC-SA-4.0,,,uncategorized,README HEAD: 内容为 14 章教程/白皮书，安装为 npx @deepseek-ai/dsh web 使用说明，非插件,2026-08-14
gordonlu/dsh-context-lens,verified_plugin,DeepSeek Harness plugin (server projection + client conversation.view slot); package.json declares dsh.bundle.patch -> cordis.patch.yml and dsh.client.platform=web.,"Request Context Profiler: per-LLM-request cards with context fingerprints, cache-reuse readout, and diff vs previous request.",,MIT,low,"Read-only observer of local session logs; no network, no credentials, no model calls.",diagnostics,README.md (HEAD) describes plugin + cordis.patch.yml in layout; package.json has dsh.bundle.patch and dsh.client (platform: web).,2026-08-14
Han-1413141/dsh-sticky-disclosure,verified_plugin,DSH Web client plugin; package.json declares dsh.bundle.patch + dsh.client (platform: web); README gives dsh plugin add install command.,Pins off-screen expanded collapsible tags (Think/tool/command cards) to viewport top with Ctrl+Alt+C collapse-all hotkey.,dsh plugin --profile web add link:./dsh-sticky-disclosure,MIT,low,Pure DOM-layer client plugin; no network/credentials/shell; reads DOM contract and dispatches clicks.,web_ui,README.md/README.en.md install section + package.json (dsh.client/dsh.bundle) + cordis.patch.yml.,2026-08-14
havingautism/dsh-ultra-ui,verified_plugin,README gives reproducible dsh plugin add command and describes a native DSH slot (tool.call.presentation).,"Web UI: renders all tool calls as compact, collapsible, replayable rows.",dsh plugin --profile web add github:havingautism/dsh-ultra-ui,MIT,low,UI presentation slot only; no network/credentials; renders recorded tool call/result blocks.,web_ui,"README.md: dsh plugin add command, tool.call.presentation slot, bundle notes.",2026-08-14
haytham818/dsh-notify,verified_plugin,README gives dsh plugin add command plus cordis.patch.yml insert block for the web profile.,Desktop system notifications (node-notifier) on task complete/error/question/approval.,"dsh plugin --profile web add ""link:/home/haytham/Repos/dsh-plugins/dsh-notify""",MIT,low,Local OS notifications via node-notifier (notify-send/terminal-notifier/snoretoast); no network/credentials; reads agent status events.,communication,README.md: dsh plugin add link command + cordis.patch.yml insert block + config.,2026-08-14
